,uuid,item_name,tier,starting_bid,item_bytes
500,f4f63292cab54b1390226b0949e4c944,Strong Dragon Boots,LEGENDARY,900000,H4sIAAAAAAAAAE1RzW7TQBAeJy0k5hDoD3BCi+ihKIqSxnVS5+aQNEUqiZSEA0KoWttjx8LejXbXCI6ceQBOnPMeeQNegSfgCRDjFqoedjX7zXzftzNjA9TBSm0AsCpQSSOrZcHuK1kIY9lQNTyx4MFbESjkH3mQoVWF+kUa4XnGE02kPzbcj1K9zviXOuxcSoU1Qh/C/nbTXxiFIjGrAdtuwmbXhUcEXiDPbiDe7HVgj6ARxig03mBeBxoUnL2n8+vHV7o/kODxdtM7L7KMLdCwoRSFHjCSlyJhw0zKiBj940779CWU0et8reQn1BR7vl5jaJiMmVkhG4sIDkrlb9+vP9V32YjnPEHyeFoyhTZcGLZUXOg81TqVYgDPbhm82S0NDGa4lsowKiPukzt5p8xrDKWINLy4Y+VSN+z/SMoiKVjItSHn8kWVy1WqWWowJ1ywAJnCWKoEo+dwSP1vN9nleDKejvz5OzaczZaLKuyGMpMKfv88qsHOlOcIj6ny32RGiidkMpTSaLChMf5sFPeNUWlQGNS1ct2wv1jOZ9PJ1WjuT2bTq2td0ioKyh3FURQ6HLHlIcfWqeOdtQK332s5cbcXufFJHx3ad92kOdLc8jU0vPaJ0+46zB10Xea/AajAvdsJw1+Dy/qwbgIAAA==
501,fc5dff6180344b28a36a4eb0b58f4ab3,Jungle Axe,UNCOMMON,50000,H4sIAAAAAAAAAE1QTU/CQBR8BZRSY0g03lfjzSDYYlu4NYgawsdBid7Mtn20G7fdpt0G/EX8j/4w4xYu3l5m3ryZeQZABzRmAIDWgAYLta4GJxNRplIzoClppMHZOvVzpN/U56g1ofPKQnzmNCqU6NeAdsiKjNOfDrTmIkddoQZcVnvniSY0wjGp9sHdg3Vvw5UC32SOaSTjfzDAjSI8kokt5puSkw8hQkyJt0OyjVkQk4Cmh51DDJKUXLKMI+EiKghLCSUFSyOO0FY7MZPXcFHt3YkQPBTbtHaiZh1WDY4i3mOmZBKT+i7xkeS4EXmE4UFHqz1fLyerxWK1JN7nVIfWkiYI54qalbVNHUxV7E53MqeelDnzS4mFXr8PjNl6+TKffh2VZamgW9tyA8f2nZ6JltUb+qbZc4eW2xtsBtTfjILHwA506EiWYCFpkkF31H8Y9k2LDMeWS7wFQANOj+9UNeAPGJYcDrUBAAA=
502,eda04b9137d642e9840168867cdd5b55,Final Destination Chestplate,LEGENDARY,3200000,H4sIAAAAAAAAAGVUzW7bRhAeWXFiKS2MtkCQFkGz/UVS1zJNkfrxzbEkW6ijGpUSICdjSY7IhcmlsFzGzjG3XJpTT0V8K6pDX6CXXoQ+CR+k6CylKA1KENjd+WZ2Zr6Z2TpADSqiDgCVDdgQQWWnAptHaS51pQ5VzcMa3EDpR2C+Ctx+Ij2F/IJ7MVaqUDsRAQ5iHmaE/lOHW4HIZjF/QUanqcItkt6Hjxfz9gnyWEcHbDHnO3bbhU9I1sMpygyXwn3bgrskHEqNcSxC8vkWsSy65vZi3j1W6aWO2FP4khSPFZc6KzXaLi1+cf0bW7ohtAHbZHCmUo2+Fqkko6/eN7ItsxTXr9gqjtLqQ7KaRKmSGRsOh3D/nQ036q71DS1tP+IUHtNpealCj/gKDN4t4XTKAp7wEFlg4inz8rh/wbhmOkJaNJ1QNSivxmLeGuRxzMao2aNU5tkBeyqec1+kecZ6XF1IzEzE7QfWnvMQvqUd/UdpVubRtIs/X7NxmsfTOL00ajNUzM1KioRkfpp45PUyEjGaADNJxRMyJPQAPiX74uXPhrydplVcv2RjrVCGOjJ5rSAkpopff1nGxg7L0Nl4hhjAnbXSlKpUvPl9JXfX8vbjPNZiFr+gvVe8ec3+W16DeyWy37DdK0PFOhzbsoo//mIDVKkvtFFq85ALmWnWlwGqBCV8t9Yvm6SkfsX7/3QBCG2dCSS3K5aXGJfsUR5fEs/wOdn/IKgUb62owIz7fp7kMddYljFY9sraAZUzacBnhLx3d9lgRMn1K+gQNsIrzZ7MQsWDVVPbjgFp23lAR/t717JIb49Sby73nYfLmKnYnUkkMiY0JsyncD1kCqepCjH4wnhuLebxaf+4P+od/vSMHZ30x5Oz08NJvwqbfhqnCurw0RbcGPEETT+3BkLymJo+07QpZ+MoosOszLEO2/0rrTjVWQkv15hVoY7E0vkFMUNTXvt7yzwTcG8wHB2envfIG20mwx9H5+9c1+ED82bQ3BCLmq64qcuZopSqdN9sPZYk2CQ0LAfbHIAizXO6/2uvGQTNwOru7reafNdB7u52O9jedabcsZ2uZTUdel9qWiQUPE9msN3as609u8mcA9dhZ48BNuBmr+wH83b9C7Q5HXnqBAAA
503,ac33b4eb7ad7407d95ae8cd6a206ed26,[Lvl 90] Baby Yeti,LEGENDARY,53500000,H4sIAAAAAAAAAMVUTW/jVBR9aWeYJAJGiA1swJhWIE3dxnZix5FmkTZp6yrJtEnaTopQ9Wxfx278EeznJi5iwY4NrFkwErts+Q35BfyG/hDEfWlmGHbMCinSy7vvnHPvPb7vlQkpkYJfJoQUNsiG7xR+LpDHB3EWsUKZbDI63iSlY9+Bw4COU0T9VSblwSQLghezCJIi2TAdsqXXjRooMpXqrmpJKqgVyQKqSRVNrtRdrerUHBt5p0k8hYT5kJZIkcGcZQmkq9RF8viCBhmQPyA/qVy99CrOy5PAzk0N98NBJXhh3kx1M7rIrQNTM0M8P25qndx4C1tj9LIWjNQT7yo6y6zwotJR+wEc92U7PL8dXZrz7s2o2h32w9FdLxwNx5Ve2PeuWpO73lH3rteaKN0bz+sp7fnV0bk8ujmb94bNvHvZnnWVi7DXQv7lGWLO572jM9mMZMM9e/4cqy+TJ46fTgOal8ijTpxAEYOfkQ+Xi/qhn3p+NBZOgWHs4+VCH7AEojHzGsJyYT9TNfIpBs2IQRD4Y4hs4Af0mabv1pCBGtpBHDjCfgJwB+RrBOPvyL+FlOOqNS5z/+pH4bUu7nUaOURcIY37X38XDhKfCS0a0jHw05kHkRABTUgRd2kUz3bXmUwbhIHnQ+CkZHudifoRT8Tr2ebs2BXyOEvWackWrv9KvSrr/tVPQgtciFLAGJd/H+VHwHzhMEty8uWD+H7muqnAPF7Ww+lgFicO17FyLo0galRet/hPC9ggLtb9b79wT6237Vvnw/K1Y2xEMBmE3FKjNaOJKwyzhAW8SwhC/CbcpS6dwEMVU2BfpULMB1vwwzCLQGAx+QAxkyi2Jxa1J1z7cwzgKI9xeJEXCx24hUAwZJ4GdG2b/LlcKMtFsFyEwv+9uO8CTlYNyPKOrim7Mjq4h3tD1SbY9MPXgL4/9phkB7494a1Tx0Hn/JRbx736CCGr8eD7EKLsC6Q+RSXM0WkftXutZn9UJI96NATyCUp+07lF6yrf8gnYp1Yu8DHAG/W0PWcJbTKW+FbGIC2SJyhpRm5cKH0vsnwKYkPcb+6PrkftoSnuiNRmeCnEhkuDFHZEmE/FhryrqIZuGIos11S1puq1tr4j4vuTIPlNOUj28IHj2m/oOB4OnxzEtS6b/cPr4Xl/2GlfD47bnW57iBQbZzA/T8ERG5UdMct8/CNaOiiqZbmS4ig1qWrgO0hVhUqKrdWqYMkKVKvIzSL/uwxMzqiDgR4aVKKy6kpVRweJOpRKlu7aNVd265qtrgtcWX/AnV+X+UORP9hk87Q9REt5CWTrv1RQJCXmh5AyGk7JU2NPru4pqlBtVKtCs0vIBnnv4aaRTUL+BllosLQgBgAA
504,63e6209b056e4d818dbfbb2c6fc7aec5,Glacite Chestplate,EPIC,35000,H4sIAAAAAAAAAFVRzW4TQQz2Ni0k4RAEQtwqVyBUFIX8/95Cuk0rpahSwgkh5M06yYjZ3WhmFtoHQeob5BU451H6FBwQwltoKaexP3/fZ3tcBCiAp4oA4O3Ajgq9sgd7oySNnVeEnKOlB4/ex4Fh+kyBZi8HhRMV8rGmpRXRryI8DJVda7oswO4kMZwXtARPt5vuES84tjzA7YbK9XYNHgs4XTOHtxA8F2RmUsb/ubWbwpmKVbzE+4oa7EvQ+yDV6+/fJPr4N+1dX11lqTQ/3G46x6nWOGWHb5M4tQP0L9ZsHIojG1F0D2vV1mt4JdHYUOysYJ1yQyzxftOMuUgM7MvLNF9hssDLJDUY/SFp/sLavpGeB9keq7s1MqFw3UpZVI4jVBZeCBYmqfxhiF9XSjMmMdKtlbKa4lCcMqksMruTzinGgNGwTLLk8ACebTft7Ub756cjHJ3409n5ZDjzc7A3T7QMm/v5Iw+77yjiG+ZY01x8cLRi6+RMjqEIJf/CGRo6Z1SQOrb57PLwZDwZjk5n/qd/ruKUplJ62W8GXO9yq0LUaFdaAbcr1Gw1Kq1F0FkEQS+geS8PBaciaUPRGkr9ar1ZbTSxP2h3cXgGsAMPjiiiJcuW8BtR9ROEeAIAAA==
505,3e9e427c663b49689b55d70b1820cdb8,God Potion,SPECIAL,1500000,H4sIAAAAAAAAAE1S3W7aMBQ+0HYLUbfe7yrTerFpipqE8FdpFwhYG0SAFkobbirjHEiIk6DEKYR32HPwAnuCPNg0015svrB9vh/7s3VkgAqUfBkASmUo+27pVwnOOnEW8ZIMJ5ysKnCKEfXgOE6gcuu7+JORVSrKPzLIkyBjbLSNMJGgbLlwadCG5rYMVFtoVtUqNohKCNVUo070BW1Q0qzXhW+cxBtMuI9pBSSOO54lmL7GkOBsRliG8BvzvjZ/8jT3qc9obtVFPZ1obGStNw0rmuWLjlW3QsHftuuDvPWftsbJY4051b43j+6yRTjTBtV7hrf3Og0fXobrdm6v58Hwxt7Nu/Z2HvaZE87WzuNDzd6zwJkGW7vrbG3jQXOMO8HPglFXcGFv54TWfj7t7eZr5jn7ILf3wc6Z3unOpN9aPmk/xAtkeO/66YaRXPzdIE5QegUvi0OjE0dpFqLCPT9VNjH340jhsZIgRf8FFRLBF6EiaRonPMSIK/FSyFKfH9ni4L5Z4KPY4nKJlKdC/lkcfy7WbpaQI30NZnEguqF4cZakwtb4LiZS+1d/LQ6LNqMehrkywBdkAvsmTvlUHPDeX3lcpcynwTEafUt8vONDcaDFgU3GvY7VHkhwOiQhvqI3sauM36LJcNHb8YS0OU/8RcYxlY5tBec3o+7zeDS1RsNnQ3izTICXi5qpN/SapupVNFRzaYq2qTbraosYTYqIBE0qQYX7IaachBu4aF3p5pVRVcxr01TaNkAZ3nVJSFYouhP+ApyiL7vPAgAA
506,b46188ef37e94730bc20650a0495b080,Giant Necromancer Lord Boots ✪✪✪✪✪,MYTHIC,8800000,H4sIAAAAAAAAAHVUzW4bNxAeeW1HVhs4aIEcWyZoAQuObO9K1ko6FHWsHwuIpUCSEwRFsaBEakWESwpcbly/R09B7gLyGHqUPEjQ4UqOc+lh+TP8Zr6Z4cctARxAQZQAoLADO4IVKgXYu9SZsoUSeJbGB7DL1WyxRXjygwQvR0IRCvDDjZoaTt/TqeQFDw6uBONdSeMU4V9L8IiJdCnpHQZ5pQ0vovVn+HW9CnucGjKeoa1F1ivWDJs4NY6CMKiVoYaAK06lXbhDenxeDXHmR8d4iIumW5yVc4dj/8V5PTypNspQRq82n3OV8o2b39y6+cEWfF5rntSR4DlC+8pyKUWMxd3j/Q2qenYSlOHQbf7C78vHf3H8G1PvYqbrldyMb0XKdELeYD4vXFJtvrQLMrYGO2BIv9+/P+hyahdo6lKkUzF5Az5ae0bfIv6b+2ujLZ9ZodWDbbLQRqUuFpIfrVf1biYlGXNLXmqVpS0y1pkkbxfYY4yPNR2dnWJ1v+TVzfBaUk6QmjCa0JgTPSd3OjN5/xWfGZ1QrN2QNEsSrTgjiZ6mZHoHjxGwXs2Cs99xcYLcz3C+kFLfpnm8W7w89LOapBZvkFDFwEE3gXBLKGPC1UKluwHX1zDFXNOcWygXRRjyfRIYc6mVI2ved/k9Xa9cWQ89v343uepfkvbNoNcZDsjL4XAyJg9wD/ZmWmoDf3qjIuwOaMLhDzzuCaosGXzHhmJk2ERtU3Svf/n0+f9GKMFh5x9r6IXFm51mlqceHBpqhL2LsmVsKONO66j9Jwtto6W21Opo5h4QmveL9yk9qtda1VYjKEIx0UzMBTewF7vEPPiJZSrmWkXC8iSS/AOX6LtXhANtRCzUhMbwdFt01OsMOqOLSacd9Sed62L+Ep8OOpej4fXF4LIzil4NR+0ob00JfnRPFzkSriwm/pg5kUbpRqTI4WExmbQioZZHt7miHbMH+zbX3hYy30g4mm8kvIGUlt8ku/WJc027Df4bdrMMM/stYLzBp2GjUg+qfqUW0nql6ftBpdo4Z815yEJ8+lgopsBTS5MlPPGD06p/GvjEb/kN8voaYAf227mEMTT8B/6Nxq6yBAAA
507,63974a18be5642c69cf7bfd4e0676e38,Berserker Leggings,EPIC,4000000,H4sIAAAAAAAAAE1S0U4TURCdpSDtGkMsMb7p1UjQYGEpLW15o6VWIhJS0BdjyOzudPeG3bvNvXcT+wd+gC+a+Ix/4Duf0g9RZ1tKfLpzz5w5cyYzLkAFHOkCgLMESzJ0Xjuw0styZR0XShYjB+5/UL4mvEI/IacElbcypDcJRoaL/riwGkozTnBSgeWTTFOZ0XVYv7lunVtNKrLxgbi5DraaHjxmsKelFUeYYkQLfAOqnPgoLSbSTgoUt/Zgjd/2J05Mf3zj6DPLcr1/qDGIVSaGZKSxqAISx7DJtIFGZc2seHe7Of35VRzRiJQhhloYoVTGwkOOmWHGPII2/NmGByy66M1ST/+XamztTb//Eov0jA/whO1cSNIUim6mcnMguixG+kq89HYar+A584YU5gEZMclyLWLCxMYCVSjCuacZx5+IGJPRDNe3fBuTCDJjRTaCwvi8tBZkyuSpVJFAX7IVyVR/UnjncYK6t3FrTcyA9kUsjZCWUhGgEj6x/CjTEYXPisU0b66T/tlxT5z0B4Pj08F5CVaCLMk0/P29WYblU0wJHjHvdizS4oSiiLsbcGGt/8VqPLRWSz+3ZFxw8e5TgtWUVMjU4qBKUMX5ui713bqKBJSLU4Nqtz887w/f9YeXCyvcPs859aLR7jRbo06zhp7n1Rr7nf1ahxpYq7fr1Br5da/VbpahYmVKrJuOYa2zs+vt1PfE/oHnibP3AEtwb35o3BL+AbMbZJ7pAgAA
509,b5c77f823c834fc3ae1d92ba51041cb1,Farmer Orb,UNCOMMON,170000,H4sIAAAAAAAAAE2Sy26bQBSGj51LMVKVbbuoNFWzLA0YsEN3rnEarACNrzGbaoBjexwu1jAkIe/Q58i2z5AHqzqJuuhmpPOf75/55+ioAB1oMRUAWm1os7T1qwVHw7IuREuFA0E3B9C5ZCleZHRTSeqPCur0ts6y8L5ArkDbS+E0sanj9M2+lsSxrplrw9QcpOeaZdiOYSe65aSp9P3g5R65YFh1QBH4IGqO1evTChwtaFYj/MZmrEc3Wz29GWdJ4/VkPZvqWejt9n2vWDTx0Ot5uexfDnpXjfMfawu6tLOVOd5GxXUd5wv9ypxkeDkxknx+FzwGzJ8lzWp2a4bLRR7tMhbtFizKPcv/vmChO38Ilte2353robuxVl1f95fBbegOuoGbPEa78TZcju4jd8si17Ojmc/WN4Yj06vwJmXVPqNNBw6vSo6KFI/h4/OTTJxwpBVWRGyRcNzw8l5sCacCSbmGDxIpkPK4IYmcTUXK4hXc13HGEvgk26zKaJFWn/+ZWbEhtCBydpy+euC9hPAOeUOen6gpj36FSSktX2SKd1J7fsrmwTD0/TAgg+FwNJ2Gk5UChwHNEd5K4ILyHDkJeSy/cjJ6uXogBGdxLbBSXpYC1IvBxB9NfoaTb9JZ11I6jR27l6y7VEspRc2iZqo5FHWN9mKj69h9o2dZCnQEy7ESNN/DiXNmWGddk1hfLYsMfIA2HLs0pxuEA4C/JReDCosCAAA=
510,e466bee989d74ef994a2f2029701b8b4,Jaded Leggings of Divan,LEGENDARY,29900000,H4sIAAAAAAAAAH1RTU/bQBAdByiOK7VVkRDitK2o1Aql2CYmMeolwiHQJlEFLRKqqmpij82CP4K9rtofgsShnDj4L/Scn8IPQR1LUT8uPezumzfvzWhmDYAmaNIAAK0BDRlobzRY2svKVGkGLCiMNHj4MZ3khBc4iUlbgOaBDGg/xqhg070By4EspjF+b8LiMMtJh7rk01nVOSCM1dmumFW4aW2bsMKcRyGlBc3JjgnPmBzJVKaROJ4SBfOM7fDrvtxsO6/g+R/JfparMp3bnbnGZs07ht1PfO5+XvH9+Xd4ff1P+P/sj6oOeYAX3HJWte9ubjnnH9FlKXMqGDs8VK5EFgp1RrDKxKjeFcpUfJCUix2Wv4a1WcUgHvYH/bHXOzoVjAaH48GxDotjTAjWWfAWAwrEkKKIJyvqkp78iikY8Lj/TeXYUyqXk1JRoYOeZIEMuQEsndc2vf4qeOQdnvTGX/4qXpZMb1g7jut3fLtlueS32q5ptbDTdVuh44cY2hj6ga1DU8mECoXJFJ5Y5pa7ZdvCMne3u+L9CKABDzxMMCLeBvwCnY35syYCAAA=
511,de2b31c65e1a421da550aa6930160a3c,Wise Dragon Chestplate,LEGENDARY,1400000,H4sIAAAAAAAAAEVRXYvTQBS92e6ubRYpKCj6NEoRlyU2X03SvmXbdFuoVbaVRUSWSeYmHcxHyUz8+BP+At/7P/pTfPPNXyBOZcGHGS7nnHvumTs6QAc0rgOAdgRHnGkXGpyMq6aUmg4tSTMNzt6VcY30E41z1FrQmXGG05xmQjX90eEe42Kb028dOF5UNbYVegYP9jt/hjSXmxHZ7+iFZZvwUGETTLEUeAd6JjxW4LyUmOc8wzK5Y/wBdFURfFDn54/v6v6obF/sd960yXOyQkkuq7IRI3LDBZLLvKqY0vsvzb57Ds9VFcY855KjIBv6GQ+mdt85SKqUyA3CfVUWtKQkqYR8pcwPnJqz3nBBuMSCJLQkMZIa06rOkD2Dp2r8fpcvoqtoOQmv35PxLFqt3y7CddSCk6TKqxrOf/9qw/GSFghPlPxfuklNs6ok4w0KqRYlEXToRl9lTUMpax43EkUbTuNKiDmDnhVblsWcwECbOYZr+4Ex9FPbSKmvCN90vUHSBl1s6ZcS2VQN7Tm2b5tpTA2Heb7hDlPLCJgZG7GV0th07IF1aFG/C49u5qvodnIdXr1Z3v7PrzI3jaJ71GUeS/3EsD1GDdc0mREkQWA4qZs6vossSZw2dCQv1GNosYXusG+5fdsh7si1SPga4AhOJ7SgGaqlwl99OrTFYAIAAA==
513,d7b97d3813904f959aa6fab9c1bc6c9b,Very Wise Dragon Leggings,LEGENDARY,2580000,H4sIAAAAAAAAADVRy27TQBS9TlJwUqEsQAIJFiNg0aiE2I6bNtm5OE0jhSA1ggohVM1krp0RY09kj4H+BF/APv+RT2HHji9A3CphMXOP7rnnnHm0AJrgqBYAODWoKem8cuDgjaly67SgbnnqwOH7XBTIv3Ch0alD81JJvNA8LUn0twX3pSrXmt82oTEzBbrUPYSn283pJXJtVyO23fBj3z+hOjw69k868JDIGBPMS9yzoQePqblYI8pdK9iNBx14TsQ0t6i1SjFf7iWB5+0NA3JsEz77ROvXzx+0f6YzvNhuBheV1myBlp2bvCpH7FqVyM61MZIdhb1w5x0JpZVVWLIV/4p35kGvT+XUJMyuEB4QzHjO2dKU9jU5PyHn7UbPxpPxPI6uPjJCk+l8sqjDwdJoU0Dnz28XGnOeITyj4Q9Y3O6y44KnJmczTFOV0wO2oD3+bgseWVsoUVksXXAzI1WisIDGN9K4d78Cj66ni/FNfBVN3s1v/udRRlUR+bIvBRdDKbpeIr1uOEhk92zgi26Cwg9QLrnAvgtNqzIsLc/W0B72/LAX9Fk4CkMWvQWowb2YZzxFuiD8A9ra6QEWAgAA
514,7aca20e727ac4086bde890f4f06af99d,Century Cake of the Next Dungeon Floor,UNCOMMON,3100000,H4sIAAAAAAAAAFWTzY7iRhSFi+6ZBNAoEynLSFFNFCmKkh6Zv25YZGFsaExje+gGjL0Zle3CLiiXW3a5wbxD3mD2LPMOPEoeJMrFSUbJxj/nfrfOuVWqJkINVGNNhFDtCl2xsPZbDb3W0kLIWhNdSxJdo8aEhXTMSZQD9WcTNZ92Bef2XtCsjq6MEP3Q7vRvlc5gc3N32+3ddPqb/g0Z9OlNr9ce9Nuk75NBF/o+ZOkzzSSjeQPVJT3IIqN5ZV1Hr1eEF7T2ie7TyNCmCnFaPOg8xv5aZYaeRubC3Vv6vG1ud4q5CDqmtn8wNJUFk+mLl/DcW/KdwdRbQzMU05kfXWe6NZN5x9KB14dbe6H2zPt5y9JNxdPVo62bB5cZucbUyBDD0m97z/79ynbB9+91ppbnhDFpH178dpfN1CrXkThh4a4fW0GyevLW4xZZT7mnGZHNhkogVvwfTvHWsRJCLSir2l3lA3mXipwu2P+0Cw/r7as5jQT6JurtrBz8Z42eJE6Pu51p7Il54ScrZdZ55HRyybF8sbbzlr0wYFZv6x7NlrUNSs9ZlrYzZWZ7dLAW1s46PiZWe9Ty9CG3HI/bunswgbOd0dG692JPN1pm4nHruIN9NrpmaTxU2SYKvIcDTSi/wkk10Zchy585KRvo1SzNaB3Et+jN+dQfF5lglyMF5fvz6e7zPw6IwD7F0BXQEKcCl2mRoW+B2acZD9/jpzShePOZZzn6DopMSJqRQBKfU7yPGTzzC0jA4huoPwPLSxykeUIlC96D7zuQDfHCJK088CZjVIQ5linOY+jDpIqWcxZQnG4g2Y6+wyMimYiwjFleKehHYKKMCJnj88n/ufXHp9+xSSIW4DETIWh3mzTD3T5qwGcMRvnF/JLZ9iVhAqZkArCNS0mGO4oClQvx1flEzie+tDTbNG2rjl5ZJKHoJ5A1KmD2Emvgf0kmY4otuCJYL0REYc/GPE0z2P+3o4PMiCplxvxC0vwavSnB5V9juEy/1C8XGX09+mBrk4+a+jD6OJyp2gNCV+gLnSQkougaob8AqGpE3/sDAAA=
515,8eda5c97886f4ed9a47ec21a2ab2411e,Fierce Skeleton Grunt Boots,LEGENDARY,600000,H4sIAAAAAAAAAEVTy07bQBS9xhActxVdVOqir6EqEogGYhM7IVIXQB5EUAeRhKqraGxPnBF+RONJKR/Sb8hPdJUvadf9h6rXdqCr8b333HPuyzpAGRSuA4CyBmvcVyoKbJwl81gqOqiSBmVYZ7E3XSHU8FsIao4EDRR4MopdwegtdUOmqFA+5z7rhDRIEf5Xh02fp7OQ3iPJZSKYht7n8Ha5qHcZFWTgoa9JlgvfbNTxaezWjNoe7GB8IAWLAznNot6+UcXneBffvRy2b1h7sIuwM8ElOZvS2GMF0t4pkPbOCokfUHlAtmhEgxWyZqygRuMRaxxYCH+N8HNGw0Kd7hu5fKZqo+wrjLbYhMUpK8LWKlrHIMAn5GyxmZwSbAGHIUiv10Pfx0ysw6icoqtDw5DHAbl5CHRFcocpN7CNxpVIJPMkT+L/gOE0EXGacaHGOyyhF3s495QRJCR+3he5T+bEx8LzGu84ElKBxClx77OWrWywB5j/frkwh1OeYjhKBJlx5jGC5jzGbJ/8+vljG1Fvlgt7uQgv29220zq5/kpaI6fb7jvktN8fDlTY8JIwEfD7T02DdYdGLFus3eFMINvgloVMYgddgadETpNEpqDDVvu7FPRE4mjcuWSp9sCim6bVNI+spmWq8NLFxgaSSkxL5VVGGOMlMizK1ECLEp9PUAZKk1xMg3IieMDjIQ1gc+RcOP0vjpaf6IvBRfuyPew74+71yBmO89J1eJpdNI1lhLypCs/8bGHjtFgYqqgqlGQ+8cLYmhSLG0+KxaF3QwV99riowlEK8jVmBv4c6/M5VvCB1s3jarXqVo7ZkV2pTcyjCvUbtYpRtS2fGswwXRd/HC5ZNJY8l1ewI8kjlkoazWCrfmhYh2aV2E3LJlefAdagVFwyYuEfdZkRMMIDAAA=
516,237355edcd774d6ca0a913059d1f6481,[Lvl 1] Enderman,RARE,10000,H4sIAAAAAAAAANVU3W7jVBCetLtsEoSWlRASEkjGarmhbv2bxJW4CEm2TZS43TRNu0FcHNvj5KT+CfZxWgfxCDxHXoAniHgAnggxTlcrLrlFsjQ+M9983/z4uA5QgwqvA0DlAA64X/m9Ai87SR6LSh0OBZsfQu2S+/g2ZPOMUH/XoX7zkIfh1WOMaRUO+j4cmc2G55uaoZhaS1cMQ/OVlmkFimlpDbVlWFbL0CjvOk1WmAqOWQ2qAp9EnmK2l67CyykLc4Q/sBios/uF6t8PQq/oN+g8uVHDq/5y1ezH08Lt9Bv9iOKX7cawsP+FtQS7s8L3xmAxi9/lbjRVh8Y4xMux5kW3ayeaLt4vPW1293bh3I2s2XKwdLrOYnTxrhjpTjS7cMLRZho5F+PIWY6K2eTBHE1uH0fdnulM2htn422uuhTX+8Vs2d5c3RH+ZmAH9+oP1EEdXvk8W4WsqMGLYZJilZxfwGe7bauTRC4T0jUKcn212zY7KRdSl0VsjufSbut9r542rWMKfrrbNnqxjylnMXxHSHom7AEJxNRT/ZhsM8Qsk/x9shSkSQSfkxNjX4qSOBOYZqdE9IaIJhjiKkmFdMPW6wK+fqb7MQ+CTBILlCYpi7OIZxlP4n2UuTzk5XKkOYUEj+fPuibIZAnwiGyVxB/Fk1SyMokceYal6DcEoQ3P07JCkUhDXGMo6WWLqB7Dn7ttsNuGu20k/X9Mui+epnlGVm9a1ObRfpA45vOFULyQew9ls8z3aao8k1Yo6FxuAIskT/fnCOP82/Ij2W1toh63x70qvHBYhPAlsf00XIeS9jNJ2fvtR7T9OrzuPYmUtYVIuZsLzKrwirj6cZDAX7/KolihfC73nG5vPGo78onMPMHX5AtYmOGJjE8r+Vw9VU9kWmlK0FKVYAu6yyXJR6DHYr+4zdAn+Imc55xeZKYy5vqGrjQN1BTTZg3FVS1TaZie52p2Kwg0g8jymP+SY7/M8HzVbKGnKZ5rM8UMXFRcLzAVveXbvmnautdsfZDfj65TTu5DEb9Vyz8PHF73JjSXsgQ4+i8VVKEmeISZYNEKXttnmnmmG5J5bupSewRwAJ883zI4BPgHSVLsMOkEAAA=
517,e4d405264c4f46398855181d9345806a,Berserker Leggings,EPIC,4000000,H4sIAAAAAAAAAD1SwW7TQBAdNy0kRhCpFeKGFkRUUEmbpE2a9kbaECJCVaVwQqjatcf2qvZutbsWhC/gAzghce4ncM+n9EOAsZP0Njvz5r23M+MD1MCTPgB4a7AmQ++1BxsnOlfO86HieOzBg09KGORXXKToVaD2Tob4NuWxpaa/PtwPpb1O+awG6xNtsErZLdia3xxeOIMqdskxm98EO90WPKHkiZGOnfKMx7jKN6BOUf8zVW9//aToC1EQVgxS/l2qmE3RSuu4CpCNYZtgI8OVs9TEd9q73dvfP9gpRqgsUuqQx1wq6+ApxZkWlklVIEk4s1qxsU2RKrvwiBROdSbVkvh5QcxLcFDQNgqysHTKviaoGHdQp1SUpylLkKcu2SWjJNP/KNFgyAZa5faYDdBYNFfsZWvv4FVJO8UwD9Cymc7NspVxFbJw4brEiBlLeBqVebPEuwRZoK1jOoLCzaK1GWhl86yYDBcylU4SVMzgISHIe6fVKP8HZUvhLpE0BIcZC7hiAok+0ibG8Fmxpu78Jh2ej0/YZDgajc9GFxXYCHSqDfz7s12F9TOeITwm3PJbaNgE45jULfhQH35zhr9xzkiRO7Q++PzuUYFNsVjhpblbYXFpdEThavLFG6rF6cHmYDi9GE7fD6eXKzNkIM+p9CIKutjrdUWz1+n1mwcH7Vazf9TpN3m0j0e8FwoR9KtQczJD0smuoX60127tdfZZ77i9z84/AKzBvcXhkST8BzBRaoT5AgAA
